"table";"forder";"field";"label[FR]";"ftype";"fcount";"target";"compulsory";"browsable";"multivalued";"published";"queryable";"translatable";"options[checkbox]";"options[readonly]"
"DACCES";7;"ObservationDetailAcces";"Observations";"XTextDef";60;;;;;;;1;;
;;;;;;;;;;;;;;
"DPERIODE";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DPERIODE";2;"tzr_lie";"Lié à";"XLinkDef";"tzrprefix_DC";;1;1;1;;1;;0;
"DPERIODE";3;"tzr_istarif";"Spécifique à un tarif";"XBoolDef";;;;1;;;1;;;
"DPERIODE";4;"tzr_ispla";"Spécifique à un planning";"XBoolDef";;;;1;;;1;;;
"DPERIODE";5;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Periode";;1;;1;1;;0;
"DPERIODE";6;"Nom";"Nom";"XShortTextDef";80;;;1;;1;1;1;;
"DPERIODE";7;"ObservationDetailPeriode";"Observations";"XTextDef";60;;;;;;;1;;
;;;;;;;;;;;;;;
"DDATE";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DDATE";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DPERIODE";1;1;1;1;1;;0;
"DDATE";3;"DateDebut";"Date de début";"XDateTimeDef";;;;1;;1;1;;;
"DDATE";4;"DateFin";"Date de fin";"XDateTimeDef";;;;1;;1;1;;;
"DDATE";5;"ObservationDates";"Observations";"XTextDef";60;;;1;;;;1;;
;;;;;;;;;;;;;;
"DJOURS";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DJOURS";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DDATE";1;1;1;1;1;;0;
"DJOURS";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Jours";;1;;1;1;;0;
;;;;;;;;;;;;;;
"JOURS";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"JOURS";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DJOURS";1;1;1;1;1;;0;
"JOURS";3;"att_lib_jour";"Code du jour";"XLinkDef";;"tzrprefix_LS_Jour";;1;;1;1;;0;
;;;;;;;;;;;;;;
"HORAIRES";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"HORAIRES";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_JOURS";1;1;1;1;1;;0;
"HORAIRES";3;"HoraireDebut";"Horaire de début";"XTimeDef";;;;1;;1;1;;;
"HORAIRES";4;"HoraireFin";"Horaire de fin";"XTimeDef";;;;1;;1;1;;;
;;;;;;;;;;;;;;
"DCLIENTELES";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DCLIENTELES";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DC";1;1;;1;1;;0;
"DCLIENTELES";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Clienteles";;1;;1;1;;0;
;;;;;;;;;;;;;;
"DCLIENT";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DCLIENT";2;"tzr_lie";"Lié à";"XLinkDef";"tzrprefix_DCLIENTELES";;1;1;1;;1;;0;
"DCLIENT";3;"tzr_istarif";"Spécifique à un tarif";"XBoolDef";;;;1;;;1;;;
"DCLIENT";4;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Client";;1;;1;1;;0;
"DCLIENT";5;"Nom";"Nom";"XShortTextDef";80;;;1;;1;1;1;;
"DCLIENT";6;"GroupeRef";"Groupe de référence";"XBoolDef";;;;1;;;1;;;
"DCLIENT";7;"NbPersMin";"Nombre minimum de personnes";"XRealDef";3;;;;;;1;;;
"DCLIENT";8;"NbPersMax";"Nombre maximum de personnes";"XRealDef";3;;;;;;1;;;
"DCLIENT";9;"AgeMin";"Age minimum";"XRealDef";2;;;;;;1;;;
"DCLIENT";10;"AgeMax";"Age maximum";"XRealDef";3;;;;;;1;;;
;;;;;;;;;;;;;;
"USAGE";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"USAGE";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DC";1;1;;1;1;;0;
"USAGE";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Usage";;1;;1;1;;0;
"USAGE";4;"Langue";"Langue";"XShortTextDef";255;;;1;1;1;1;1;;
;;;;;;;;;;;;;;
"DMODERESA";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DMODERESA";2;"tzr_lie";"Lié à";"XLinkDef";;;1;1;1;1;1;;0;
"DMODERESA";3;"tzr_ispresta";"Spécifique à une prestation";"XBoolDef";;;;1;;;1;;;
"DMODERESA";4;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_ModeReservation";;1;;1;1;;0;
"DMODERESA";5;"Obligatoire";"Réservation obligatoire";"XBoolDef";;;;1;;;1;;;
"DMODERESA";6;"ObservationModeReservation";"Observations";"XTextDef";60;;;1;;;;1;;
;;;;;;;;;;;;;;
"CAPACAPA";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"CAPACAPA";2;"tzr_lie";"Lié à";"XLinkDef";;;1;1;;1;1;;0;
