02.01.11.07.25;Sciences et techniques;|MSCIE|
02.01.11.07.26;Sciences naturelles;|MSNAT|
02.01.11.07.27;Télécommunications;|MTELE|
02.01.11.07.28;Arts et traditions populaires;|MTRAD|
02.01.11.07.29;Transports;|MTRAN|
02.01.11.07.30;Musique;|MUSIC|
02.01.11.08.01;Conservatoire;|PACON|
02.01.11.08.02;Jardin d'agrément;|PAGRE|
02.01.11.08.03;Jardin botanique;|PAJAR|
02.01.11.08.04;Arboretum;|PARB|
02.01.11.08.05;Parc;|PARC|
02.01.11.09.01;Abbaye;|HABB|
02.01.11.09.02;Aqueduc;|HAQUE|
02.01.11.09.03;Arc de triomphe;|HARC|
02.01.11.09.04;Arène;|HAREN|
02.01.11.09.05;Basilique;|HBASI|
02.01.11.09.06;Bastide;|HBAST|
02.01.11.09.07;Calvaire et enclos paroissiaux;|HCALV|
02.01.11.09.08;Cathédrale;|HCATH|
02.01.11.09.09;Chapelle;|HCHAP|
02.01.11.09.10;Chartreuse;|HCHAR|
02.01.11.09.11;Château;|HCHAT|
02.01.11.09.12;Château fort;|HCHFO|
02.01.11.09.13;Cimetière civil;|HCIME|
02.01.11.09.14;Cimetière militaire et mémorial;|HCIMI|
02.01.11.09.15;Citadelle;|HCITA|
02.01.11.09.16;Cloître;|HCLOI|
02.01.11.09.17;Collégiale;|HCOLL|
02.01.11.09.18;Commanderie;|HCOMM|
02.01.11.09.19;Couvent;|HCOUV|
02.01.11.09.20;Donjon;|HDONJ|
02.01.11.09.21;Ensemble fortifié;|HEFOR|
02.01.11.09.22;Eglise;|HEGLI|
02.01.11.09.23;Évêché;|HEVEC|
02.01.11.09.24;Ferme;|HFERM|
02.01.11.09.25;Fort;|HFORT|
02.01.11.09.26;Grotte et gouffre;|HGROT|
02.01.11.09.27;Maison;|HMAIS|
02.01.11.09.28;Mégalithe;|HMEGA|
02.01.11.09.29;Mine;|HMINE|
02.01.11.09.30;Monastère;|HMONA|
02.01.11.09.31;Mosquée;|HMOSQ|
02.01.11.09.32;Moulin;|HMOUL|
02.01.11.09.33;Palais;|HPALA|
02.01.11.09.34;Pigeonnier;|HPIGO|
02.01.11.09.35;Pont;|HPONT|
02.01.11.09.36;Ruines et vestiges;|HRUIN|
02.01.11.09.37;Site industriel;|HSIND|
02.01.11.09.38;Site Archéologique;|HSITE|
02.01.11.09.39;Synagogue;|HSYNA|
02.01.11.09.40;Temple bouddhique;|HTBOU|
02.01.11.09.41;Temple;|HTEMP|
02.01.11.09.42;Tour;|HTOUR|
02.01.11.09.43;Ville;|HVILL|
02.01.11.09.44;Voie romaine;|HVOIE|
02.01.11.10.01;Maison d'artisanat;|CARTI|
02.01.11.10.02;Arts et traditions populaires;|CEART|
02.01.11.10.03;Eco Musée;|CECOM|
02.01.11.10.04;Maison d'écrivain;|CECRI|
02.01.11.10.05;Industrie;|CEIND|
02.01.11.10.06;Métier;|CEMET|
02.01.11.10.07;Environnement et nature;|CENAT|
02.01.11.10.08;Nouvelles technologies et images;|CENT|
02.01.11.10.09;Sport;|CESPO|
02.01.11.10.10;Maison d'artiste;|CMART|
02.01.11.10.11;Maison de peintre;|CPEIN|
02.01.12.01.01;Patrimoine naturel;|PNA|
;Grotte;GRO
;Site sous-marin;SMA
;Salin;SAL
;Littoral;LIT
;Ile;ILE
;Cascade;CAS
;Col;COL
;Curiosité naturelle;CNA
;Fleuve, rivière ou canal;FLE
;Forêt;FOR
;Glacier;GLA
;Gorge;GOR
;Massif;MAS
;Plage;PLA
;Plaine, vallée ou delta;VAL
;Plan d'eau, lac ou étang;EAU
;Sommet;SOM
02.01.13.01.01;Bistrot / bar à vin;|BISTR|
02.01.13.01.02;Brasserie;|BRASS|
02.01.13.01.03;Cafétéria;|CAFET|
02.01.13.01.04;Crêperie;|CREPE|
02.01.13.01.05;Cuisine traditionnelle;|CTRAD|
02.01.13.01.06;Grill;|GRILL|
02.01.13.01.07;Pizzeria;|PIZZE|
02.01.13.01.08;Restauration Rapide;|RESRA|
02.01.13.01.09;Restauration à thème;|RESTH|
02.01.13.01.10;Rôtisserie;|ROTIS|
02.01.13.01.11;Taverne;|TAVER|
02.01.13.02.01;Auberge de campagne;|AUBCA|
02.01.13.02.02;Ferme auberge;|FEMAU|
02.01.13.02.03;Ferme de séjours;|FEMSE|
02.01.13.02.04;Hotel-restaurant;|HOTRE|
02.01.13.02.05;Restaurant;|RESTA|
02.01.13.02.06;Table d'hôtes;|TABHO|
02.01.13.03.01;Cuisine africaine;|AFRIC|
02.01.13.03.02;Cuisine asiatique;|ASIAT|
02.01.13.03.03;Cuisine casher;|CASHE|
02.01.13.03.04;Cuisine diététique;|DIETE|
02.01.13.03.05;Cuisine européenne;|EUROP|
02.01.13.03.06;Fruits de mer;|FDMER|
02.01.13.03.07;Fromagerie;|FROMA|
02.01.13.03.08;Cuisine gastronomique;|GASTR|
02.01.13.03.09;Cuisine méditerranéenne;|MEDIT|
02.01.13.03.10;Cuisine nord-américaine;|NAMER|
02.01.13.03.11;Nouvelle cuisine française;|NCFRA|
02.01.13.03.12;Régionales française;|RLFRA|
02.01.13.03.13;Cuisine sud-américaine;|SAMER|
02.01.13.03.14;Cuisine traditionnelle;|TRADI|
02.01.13.03.15;Triperies;|TRIPE|
02.01.13.03.16;Cuisine végétarienne;|VEGET|
02.01.14.01;Auberges de jeunesse;
02.01.14.02;Centres de jeunes;
02.01.14.03;Centres de vacances;
02.01.14.04;Maisons familiales de vacances;
02.01.14.05;Villages de vacances;
